date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-30,AQS,060832004,1,8.8,ug/m3 LC,49,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-31,AQS,060832004,1,10.7,ug/m3 LC,54,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-06,AQS,060832011,1,72.6,ug/m3 LC,163,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-07,AQS,060832011,1,130.5,ug/m3 LC,206,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-08,AQS,060832011,1,77.2,ug/m3 LC,166,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-09,AQS,060832011,1,59.1,ug/m3 LC,154,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-10,AQS,060832011,1,84.9,ug/m3 LC,172,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-11,AQS,060832011,1,78.5,ug/m3 LC,167,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-13,AQS,060832011,1,60.9,ug/m3 LC,155,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-14,AQS,060832011,1,40.2,ug/m3 LC,113,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-15,AQS,060832011,1,40,ug/m3 LC,112,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-16,AQS,060832011,1,14.7,ug/m3 LC,61,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-17,AQS,060832011,1,15.6,ug/m3 LC,63,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-18,AQS,060832011,1,13.9,ug/m3 LC,60,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
